bikeid,counts
32253,11
42089,9
109735,9
48080,9
111179,9
169418,9
117422,8
21059,8
95440,8
58429,8
76787,8
179583,8
29321,8
4686,8
18124,8
20269,8
76495,7
120423,7
103199,7
19742,7
123659,7
83875,7
33100,7
68261,7
19072,7
70047,7
155864,7
53698,7
48907,7
5533,7
84731,7
116600,7
22268,7
48741,7
184978,7
9485,7
76636,7
64416,7
98975,7
45884,7
260990,7
118659,7
162633,7
53907,7
102700,7
108485,7
102173,7
11035,7
174022,7
135554,7
15949,7
136751,7
104464,7
146423,7
138505,7
61873,7
170527,7
106251,6
141643,6
156236,6
129218,6
30937,6
90266,6
226727,6
47532,6
139275,6
134491,6
68804,6
114877,6
118693,6
233989,6
112319,6
13304,6
83565,6
116252,6
56927,6
105399,6
85305,6
84686,6
143381,6
113845,6
94339,6
122214,6
103895,6
178289,6
17121,6
98277,6
129037,6
139250,6
125574,6
88732,6
59565,6
31016,6
8307,6
44918,6
144822,6
98212,6
147785,6
178317,6
156737,6
36881,6
28768,6
132110,6
42385,6
59117,6
35759,6
159090,6
224093,6
28646,6
20650,6
127785,6
125251,6
24327,6
48440,6
25019,6
33374,6
50688,6
142605,6
113105,6
59826,6
110853,6
14118,6
201219,6
68134,6
149963,6
44939,6
97242,6
35862,6
130291,6
200172,6
82477,6
988,6
169598,6
41579,6
6117,6
177245,6
25934,6
68475,6
58907,6
37961,6
90658,6
78070,6
21130,6
43003,6
119936,6
69534,6
271387,6
6433,6
49727,5
29239,5
15986,5
89049,5
142254,5
54415,5
113482,5
28417,5
56501,5
109215,5
191366,5
138349,5
75385,5
132035,5
116145,5
105235,5
156759,5
36847,5
107814,5
103893,5
140520,5
18245,5
164122,5
184148,5
226474,5
185465,5
45751,5
46405,5
104981,5
1312,5
83773,5
118413,5
60696,5
36524,5
72088,5
63799,5
8069,5
135444,5
102119,5
27327,5
296671,5
75514,5
113930,5
76771,5
48455,5
65459,5
85903,5
83018,5
41455,5
130259,5
49771,5
35201,5
227655,5
135304,5
121224,5
85368,5
111446,5
8083,5
55315,5
250935,5
26395,5
56169,5
89600,5
87553,5
80901,5
113247,5
133876,5
109724,5
76444,5
66850,5
104611,5
98225,5
190404,5
118496,5
57307,5
156141,5
56275,5
167294,5
109660,5
194624,5
134485,5
23352,5
174754,5
8286,5
162651,5
138490,5
78196,5
132624,5
83621,5
6172,5
83556,5
111799,5
28351,5
267854,5
80375,5
283857,5
135437,5
97001,5
120262,5
111964,5
95829,5
70545,5
151979,5
38234,5
79402,5
22526,5
103415,5
120991,5
37814,5
86976,5
131611,5
135623,5
72066,5
94170,5
180765,5
115881,5
183549,5
99538,5
227213,5
214121,5
44727,5
140083,5
37671,5
189227,5
38265,5
136204,5
81706,5
105927,5
75868,5
18665,5
114242,5
16160,5
149742,5
200613,5
98019,5
116042,5
117890,5
109855,5
115208,5
1034,5
16222,5
63398,5
35871,5
42014,5
79199,5
75302,5
79285,5
28060,5
13774,5
282469,5
60864,5
205059,5
114380,5
121781,5
189106,5
25666,5
161751,5
7317,5
34745,5
26792,5
116409,5
1229,5
147561,5
106585,5
185582,5
120696,5
119634,5
119906,5
168271,5
97058,5
170764,5
71187,5
193228,5
123539,5
183048,5
146431,5
144093,5
255321,5
81623,5
87533,5
100681,5
171898,5
153210,5
24365,5
27835,5
61784,5
79004,5
139407,5
100840,5
2903,5
6892,5
40432,5
44728,5
174507,5
55770,5
78876,5
139344,5
234691,5
38863,5
142626,5
47944,5
44082,5
78945,5
150208,5
115522,5
50954,5
91115,5
87090,5
127841,5
46816,5
154200,5
91606,5
40268,5
160003,5
110843,5
178716,5
94386,5
68614,5
240203,5
120031,5
86110,5
205211,5
131181,5
72379,5
88135,5
56234,5
127098,5
205889,5
205811,5
89260,5
18034,5
283186,5
50076,5
57654,5
135957,5
92291,5
262403,5
102756,5
104736,5
129665,5
120074,5
88011,5
239042,5
61669,5
141245,5
124869,5
12676,5
109674,5
135163,5
38261,5
127521,5
126573,5
66107,5
78133,5
107931,5
