userid,counts
6199,25
3369,23
7475,21
6138,21
5150,21
5949,21
8633,21
6526,21
4123,21
7883,20
8762,20
11456,20
5215,20
10609,20
8700,20
1123,20
9708,19
7045,19
6450,19
7758,19
1866,19
6544,19
9604,19
9188,19
8188,19
7776,19
8077,19
7376,19
11258,18
3175,18
5430,18
8114,18
3707,18
7737,18
1817,18
7550,18
1344,18
9498,18
7782,18
4444,18
767,18
3524,18
3124,18
7181,18
7930,18
13881,18
5305,18
9420,18
8598,18
5615,18
9361,18
8541,18
7894,18
9711,18
643,18
3229,18
5050,18
7276,18
7935,18
7949,18
7958,17
5613,17
4092,17
6022,17
5302,17
8001,17
6273,17
579,17
7959,17
8822,17
6983,17
5098,17
2199,17
5773,17
6815,17
5997,17
4748,17
6389,17
576,17
10814,17
4455,17
2487,17
7411,17
1851,17
10047,17
1004,17
4212,17
8184,17
3658,17
3903,17
11084,17
4577,17
5850,17
3929,17
9272,17
8026,17
5427,17
1310,17
2240,17
8021,17
7586,17
5390,17
6056,17
7028,17
7822,17
2138,17
3167,17
6936,16
8506,16
11323,16
11056,16
6644,16
6070,16
10273,16
5600,16
4887,16
661,16
5211,16
7861,16
759,16
8739,16
6663,16
2522,16
10018,16
3047,16
2373,16
702,16
3714,16
8796,16
7718,16
1078,16
9378,16
6299,16
2073,16
6909,16
9634,16
580,16
13174,16
5012,16
6689,16
10303,16
3017,16
6541,16
9337,16
7502,16
3989,16
9225,16
5809,16
9854,16
5667,16
5423,16
1675,16
7425,16
1183,16
7300,16
2477,16
5384,16
4162,16
458,16
1915,16
2691,16
1865,16
9549,16
6085,16
10114,16
5132,16
4527,16
9284,16
7437,16
5493,16
7668,16
3763,16
1235,16
8126,16
515,16
6587,16
2355,16
4446,16
1436,16
9572,16
5290,16
4421,16
9044,16
8107,16
10123,16
7162,16
3688,16
9901,16
5471,16
1849,16
6332,16
10102,15
1307,15
6493,15
4834,15
6243,15
6937,15
7580,15
7388,15
1242,15
6942,15
8473,15
4820,15
5877,15
4571,15
9154,15
5307,15
2766,15
207,15
3855,15
3535,15
8766,15
5327,15
1402,15
8393,15
12992,15
5198,15
7688,15
15234,15
9039,15
4985,15
2058,15
5380,15
9101,15
4875,15
8075,15
10381,15
4287,15
5765,15
4093,15
80,15
1872,15
8605,15
7687,15
2072,15
728,15
4506,15
6837,15
8723,15
8531,15
7765,15
1526,15
10098,15
4469,15
6038,15
6551,15
4435,15
6359,15
7248,15
8636,15
8135,15
4113,15
6929,15
6278,15
3321,15
1809,15
7250,15
10236,15
1632,15
3864,15
2176,15
6881,15
4397,15
1152,15
802,15
938,15
3243,15
7529,15
1450,15
5930,15
6561,15
10807,15
942,15
5161,15
6337,15
4780,15
7491,15
616,15
8490,15
7015,15
869,15
4452,15
6066,15
1072,15
8417,15
6594,15
6451,15
1455,15
11298,15
5107,15
8131,15
2978,15
4897,15
1841,15
9317,15
5746,15
2860,15
4899,15
10298,15
10408,15
6626,15
4591,15
7983,15
9104,14
3766,14
5813,14
6679,14
2046,14
12748,14
1108,14
7780,14
7268,14
5526,14
5237,14
3718,14
8528,14
9891,14
9728,14
211,14
8812,14
7532,14
3411,14
10134,14
6702,14
9100,14
10454,14
5933,14
8556,14
8323,14
3566,14
584,14
4202,14
7056,14
7284,14
7559,14
5718,14
1327,14
5604,14
6677,14
11427,14
9257,14
598,14
7172,14
3703,14
4604,14
125,14
3575,14
10403,14
7278,14
4931,14
9716,14
7957,14
8022,14
1510,14
4934,14
9233,14
9187,14
6692,14
6358,14
4030,14
11088,14
4197,14
3943,14
3751,14
11265,14
5253,14
2924,14
7254,14
3815,14
5335,14
8790,14
1489,14
3777,14
4616,14
5944,14
5771,14
3835,14
3917,14
1006,14
6350,14
1901,14
589,14
10553,14
9353,14
3067,14
3119,14
2939,14
4201,14
8258,14
9960,14
3277,14
7247,14
1019,14
10539,14
1098,14
8808,14
1275,14
2349,14
5993,14
5865,14
9026,14
6153,14
2556,14
1515,14
7656,14
7400,14
2957,14
4300,14
8297,14
649,14
1224,14
8212,14
2193,14
6611,14
11029,14
9467,14
9236,14
11541,14
1416,14
5586,14
10004,14
7531,14
4970,14
7378,14
7570,14
7790,14
5261,14
4620,14
10058,14
6669,14
12559,14
9738,14
7819,14
5578,14
2731,14
4456,14
10497,14
6059,14
12425,14
7494,14
4429,14
10762,14
11520,14
7180,14
2758,14
3060,14
5296,14
3935,14
5299,14
4198,14
7408,14
6391,14
6172,14
10529,14
7262,14
3840,14
7357,14
5923,14
8614,14
1858,14
13893,14
3036,14
11233,14
7271,14
5239,14
5155,14
5788,14
2932,14
5873,14
5745,14
4892,14
3739,14
7970,14
11295,14
4184,14
8771,14
7773,14
6513,14
9655,14
10165,14
2818,14
1395,14
10871,14
7386,14
